provider_name,provider_type,npi_number,city,state,phone_number
"Bauer, Mason and Mahoney Medical Center",Clinic,5983423649,North William,AS,5618034587
Gallegos-Orozco Medical Center,Pharmacy,6791807526,West Michaelberg,LA,343-889-4264x592
Harris-Meza Medical Center,Primary Care,3105001752,West Jasonbury,VT,(284)358-1372
Knight Group Medical Center,Hospital,4243431817,Port David,IA,994-661-3168
Brown PLC Medical Center,Specialist,2242959671,Lake Douglas,MD,+1-455-630-8653x24947
"Gallagher, Brown and Edwards Medical Center",Primary Care,6135395348,Brendatown,MP,8889844677
"Soto, Park and Evans Medical Center",Clinic,8956470987,Fisherbury,MH,(212)452-1275
Miller Inc Medical Center,Primary Care,2053279987,Piercemouth,NY,(326)676-6995
Robinson Ltd Medical Center,Primary Care,7436548541,Ramosville,IL,697-362-9035x777
Rogers LLC Medical Center,Clinic,6163169371,South Carmen,KY,+1-722-806-0627x408
Schwartz Group Medical Center,Primary Care,1601559759,East Kirk,PW,(584)816-8152
Wilson PLC Medical Center,Laboratory,5878298446,Lake Susan,VI,4929145398
Bowers-Fletcher Medical Center,Urgent Care,6000078667,South Rhonda,GU,(295)964-4621x29959
Hall and Sons Medical Center,Urgent Care,2365498447,North Travisborough,OH,001-756-372-0051x966
"Vaughn, Collins and Williams Medical Center",Pharmacy,8349739552,East Samanthastad,RI,001-641-854-9186x02839
"Hansen, Smith and Shields Medical Center",Urgent Care,6300042103,Jarvisbury,RI,+1-705-345-2561x145
Ford Ltd Medical Center,Laboratory,3975995370,New Josephville,AK,418.427.5286x002
Bowen PLC Medical Center,Clinic,4088089986,Dawnshire,MD,(619)651-9450x80263
"Nelson, Robinson and Davis Medical Center",Pharmacy,6949977589,West Joseph,NY,+1-347-531-6547x63692
Benson-Escobar Medical Center,Pharmacy,2858142560,New Brandon,NC,001-691-482-7857
Cortez LLC Medical Center,Primary Care,8274439231,North Abigail,NC,+1-311-401-2921x9012
"Hodges, Jones and Nguyen Medical Center",Pharmacy,5551104542,Walkerside,MD,574.846.5903x635
"King, Anderson and Silva Medical Center",Primary Care,8250654951,Perryville,WV,001-748-332-7132x37489
Payne PLC Medical Center,Laboratory,3160029786,Lake Sergio,AK,+1-736-278-1897x756
"Alvarado, Schwartz and Smith Medical Center",Clinic,9962721592,Larsonburgh,GU,001-804-651-6698x04645
"Riley, Martinez and Butler Medical Center",Laboratory,6476176952,North Joebury,ID,(244)905-8159x261
Johnson-Walker Medical Center,Hospital,2633852545,South Mackenzie,ME,+1-575-638-4016x8683
Navarro Inc Medical Center,Clinic,8005544771,South Darrellhaven,PW,540.462.0680x8320
Thompson LLC Medical Center,Urgent Care,6851118270,West Catherinemouth,WV,+1-564-687-8782x21841
Floyd-Roberts Medical Center,Pharmacy,2627778124,Santosville,VA,650.447.3592x7143
Delgado Inc Medical Center,Specialist,1787174627,Peterfurt,PW,6315273920
Hughes-Miller Medical Center,Laboratory,5967553710,New Alexville,TN,640.464.6439x1131
"Buchanan, Rice and Arnold Medical Center",Urgent Care,8923718097,Parkmouth,VI,743.309.7681
"Porter, Poole and Wallace Medical Center",Urgent Care,1215484443,Lake Vincentview,MH,(600)226-3252
"Ellis, Bell and Williams Medical Center",Specialist,6449736112,Michaelville,CT,285-641-6714x13262
Williams Ltd Medical Center,Laboratory,3605738373,South Erinside,GU,(512)894-3682x9601
"Martinez, Bowers and Jackson Medical Center",Laboratory,8530477903,East Elizabeth,KS,+1-306-972-6287x0831
Baker and Sons Medical Center,Specialist,8466533457,Figueroaside,WY,001-484-385-4233x9337
"Cook, Jackson and Mcgee Medical Center",Pharmacy,9047324017,North Bruceport,UT,001-771-250-3245
"Stephens, Holmes and Owens Medical Center",Primary Care,2805381874,South Mary,NY,001-291-933-2833x11861
"Rodriguez, Harper and Nelson Medical Center",Urgent Care,9284846004,Adamstad,CO,9608342756
Marks Inc Medical Center,Hospital,7413461303,Ortizside,MH,577-974-2970x499
Graham Ltd Medical Center,Clinic,1263114948,Wallaceview,ID,001-207-811-6980x4491
Anderson-Simmons Medical Center,Specialist,7946966075,West Stephaniefurt,DC,543-229-3641x944
"Parks, Tapia and Romero Medical Center",Specialist,9576785010,Campbellstad,OR,(871)386-6132
Pierce-Monroe Medical Center,Urgent Care,9231755541,Reyesstad,AL,(274)813-1517
Gordon and Sons Medical Center,Hospital,6551170232,Lake Raymondfort,OK,880.904.5936x172
Gonzales Inc Medical Center,Urgent Care,2973435127,Danielburgh,ND,276.727.0719
Hudson and Sons Medical Center,Clinic,4051736820,South Mark,CT,+1-733-777-8720x8405
Moody LLC Medical Center,Urgent Care,8319622197,Port Cherylborough,MI,5097024143
Ritter and Sons Medical Center,Pharmacy,9933261469,New Justin,DC,+1-405-892-8942x11823
Rowland-Johnson Medical Center,Pharmacy,4211986080,Katherineside,LA,731-530-6206
Wilson Inc Medical Center,Urgent Care,6214948841,Douglashaven,MP,626.939.5892x0777
"Montgomery, Banks and York Medical Center",Primary Care,4943199955,Suttonfort,VA,839-437-3055x075
Warren and Sons Medical Center,Specialist,1283670862,Anthonyport,PR,(385)710-4258x49521
Smith Inc Medical Center,Clinic,3152555282,West Michaelland,PA,476.906.5640x7748
"Smith, Walker and Spence Medical Center",Specialist,3710503329,South Nancy,OH,001-833-312-8272
"Watson, Elliott and Boyle Medical Center",Clinic,3652473363,Keyport,MN,+1-706-376-3071x48890
"Johnson, Gomez and Bright Medical Center",Primary Care,1081758231,East Ronaldtown,GU,366-744-9856
Nguyen and Sons Medical Center,Specialist,2457925064,Lake Daniel,LA,4303808643
"Price, Caldwell and Hudson Medical Center",Specialist,8625231700,Wallerhaven,NC,576.485.9360
"Valdez, Medina and Hudson Medical Center",Pharmacy,4100356824,Rosarioside,IL,948-774-8072x5961
"Wilson, Spears and Gutierrez Medical Center",Primary Care,2080185257,Lewisfort,NM,780.485.1748x2167
Bush Inc Medical Center,Urgent Care,1216970665,Armstrongmouth,LA,506.481.2552x33854
Copeland Ltd Medical Center,Clinic,6776106287,New Javierview,FM,323-994-1048
Barr LLC Medical Center,Clinic,3814469722,Watsonhaven,OR,699-226-5196x537
Powell and Sons Medical Center,Clinic,1733139922,East Hollyport,MA,+1-600-212-2440x870
Munoz PLC Medical Center,Hospital,8856492646,Juliatown,VT,001-264-318-2884x799
Stone-Ruiz Medical Center,Clinic,7816896176,Port Alexville,WI,001-893-208-2551x9847
Cunningham Inc Medical Center,Laboratory,3466160259,Ewingmouth,GU,(786)923-7668
Day Inc Medical Center,Primary Care,5453268886,South Alexisburgh,WI,413-246-9976x95091
"Rodriguez, Smith and Bowman Medical Center",Urgent Care,4367111714,Aaronfurt,PA,001-955-675-8742
Zavala Inc Medical Center,Primary Care,7084158509,Jaimeside,MI,677-579-8914x851
Miller-Gilbert Medical Center,Clinic,6771022753,Mariastad,TX,6863685185
Ward Group Medical Center,Laboratory,8271079367,Brownville,CT,001-264-509-6268
Sawyer Inc Medical Center,Pharmacy,1479886908,Ryanfurt,HI,001-375-819-2122x51040
Foster-Shaw Medical Center,Specialist,3026349772,East Cynthiachester,PR,(221)569-9095x30763
"Garcia, Davis and Bailey Medical Center",Hospital,2787233855,Farleyside,MS,001-480-651-8549x52142
"West, Chavez and Moore Medical Center",Urgent Care,9485855687,Grimesshire,ID,863-256-2647
Lopez-Mendez Medical Center,Specialist,5586418170,Robertstad,NM,3463106968
"Rodriguez, Hernandez and Daniel Medical Center",Hospital,8931192039,North Richard,KS,+1-365-306-9891x3140
"Oliver, Robertson and Jones Medical Center",Pharmacy,9067370005,Smithbury,MI,481-504-7678x93259
Mejia-James Medical Center,Hospital,8430429592,Marcuschester,CO,624.854.0816x1205
Turner PLC Medical Center,Hospital,9401942960,Markborough,NY,(889)595-4997x7448
"Ramos, Schmitt and Snyder Medical Center",Pharmacy,2797025953,South Megan,MI,656.965.6675
"Garcia, Holder and Charles Medical Center",Primary Care,7081531791,Gutierrezside,VI,462.958.4298
Owens-Roberts Medical Center,Specialist,6441212546,Brookeberg,OH,+1-379-844-0883x6995
Gray-Woodard Medical Center,Primary Care,3999542730,North Christinaside,CT,(911)419-3814
"Johnson, Navarro and Hensley Medical Center",Laboratory,4374071929,Chavezburgh,GA,587-254-1022x04077
Page-Robinson Medical Center,Specialist,9778629741,Tiffanyside,ND,209-572-8390x63719
Odonnell-Pratt Medical Center,Hospital,2224790571,East Davidborough,LA,(770)557-6532x78520
"Peters, Jones and Matthews Medical Center",Pharmacy,8750742922,South Martinmouth,VA,001-930-967-7712
Colon-Pena Medical Center,Primary Care,1485421172,New Hollyberg,WY,557-792-3027
Campbell Ltd Medical Center,Specialist,1262151820,Turnerburgh,CT,(778)471-4702x24600
Kelley LLC Medical Center,Specialist,2836682004,Shieldsshire,NH,(654)908-7645x651
Gordon-Castro Medical Center,Hospital,8860355788,Lake Saramouth,NJ,985-232-6834x27423
"Freeman, Burns and Jackson Medical Center",Hospital,3629022893,East Loriview,MO,(427)472-3175
Fox Group Medical Center,Primary Care,7798866399,East Williamhaven,KS,+1-820-510-1915x3356
Graham PLC Medical Center,Primary Care,9677769768,West Ronnie,WA,+1-205-992-0702
"Patrick, Hall and Brown Medical Center",Specialist,6738159054,Lake Emilyside,LA,001-931-224-6559x4291
"Watkins, Martinez and Johnston Medical Center",Pharmacy,3156366374,Lake Madison,MT,(218)973-5646
"Adams, Johnson and Jimenez Medical Center",Pharmacy,6733509832,West Crystal,NE,001-787-795-8693x806
Miles Ltd Medical Center,Pharmacy,3907933213,West Tina,OR,+1-893-990-1733x537
Mcguire-Rice Medical Center,Clinic,9200638024,Melissamouth,PA,979-890-3320x9435
Hale-Chambers Medical Center,Urgent Care,6055099653,East Ericaport,HI,704.699.5152x8205
"Gutierrez, Garcia and Walker Medical Center",Pharmacy,3189438312,Duartemouth,MI,+1-588-701-0862
Roberts Group Medical Center,Hospital,7742386970,East Davidshire,NE,(373)348-1133x9853
"Fitzpatrick, West and Gill Medical Center",Laboratory,4997576808,East Michael,OK,322-777-4197x335
Thompson Ltd Medical Center,Hospital,7444800618,New Bradchester,VT,001-928-958-9696x37915
Vance and Sons Medical Center,Primary Care,2381473887,Fowlerberg,HI,769-658-9313x8346
Thomas-Larson Medical Center,Pharmacy,7499085230,South Brooke,NJ,(523)940-8096x90873
Gonzalez-Wilson Medical Center,Urgent Care,6179456607,Saraview,ME,+1-510-542-2914
"Pham, Simmons and Cervantes Medical Center",Specialist,1036608689,Walkerchester,MN,900-560-3146x20140
"Mitchell, Garcia and Burton Medical Center",Primary Care,9792716522,Timbury,AR,+1-771-329-9948x325
Smith-Johnson Medical Center,Primary Care,8614052868,North Christopherchester,ME,(437)985-6375
"Stone, Clarke and Duncan Medical Center",Specialist,3575283342,South Lisaview,NC,(521)392-4251
Alexander-Adams Medical Center,Specialist,7255231139,Stephanieside,MI,+1-971-426-4490x893
Collins-Howe Medical Center,Pharmacy,4403782676,Bryanstad,IL,001-213-528-9870x92484
"Spears, Hayes and Fernandez Medical Center",Urgent Care,3885167441,New Ashley,OK,445.894.0260
White PLC Medical Center,Urgent Care,9565870486,Jamesland,OK,958-341-6869
"Adams, Snow and West Medical Center",Hospital,4342343734,Mollyfort,AL,001-863-972-5107x10617
Walker Group Medical Center,Primary Care,1777309407,East Kevinburgh,MO,5025855417
Mendoza PLC Medical Center,Clinic,8094175752,Sanchezton,KY,4239344685
Gray-Gonzalez Medical Center,Primary Care,2922821013,New Cindy,GU,8504709661
Vazquez-Payne Medical Center,Urgent Care,2994513870,Stephensonfort,NH,(332)213-4340x83884
Ryan-Garcia Medical Center,Clinic,7769785205,Andreastad,SD,(856)863-8869
"Fox, Morgan and Holt Medical Center",Specialist,7573547910,Port Elizabeth,AK,001-837-589-0569x983
"Stone, Morris and Wright Medical Center",Clinic,1474358036,Laurenberg,SD,8068163055
Reyes-Vaughn Medical Center,Primary Care,6685860883,Lake Kelly,TX,236-578-1002x03322
Mason-Robles Medical Center,Urgent Care,3536217151,Michaelfurt,NJ,(461)568-4204x88379
"West, Williams and Payne Medical Center",Specialist,3029161088,East Williamfort,NM,837.473.3886
"Perry, Johnston and Rios Medical Center",Primary Care,6803594130,North Shannontown,ND,422.244.0869
"Medina, Jensen and Turner Medical Center",Primary Care,8162943535,Monicaborough,UT,+1-796-324-3798x883
Wilson-Jones Medical Center,Pharmacy,5891080215,New Jerry,WI,8954009174
Crawford-Cordova Medical Center,Specialist,3934806864,Jacobmouth,TN,631.370.6225x23474
"Jordan, Wilson and Dunlap Medical Center",Hospital,4941533311,West Gregoryville,ID,(702)614-4725x575
Williams Ltd Medical Center,Clinic,6538232367,East Richard,GA,001-454-499-1691x86740
"Wallace, Williamson and Moon Medical Center",Pharmacy,1290810438,North Tammyton,OK,2154088861
Smith Group Medical Center,Clinic,2514446724,New Curtis,WA,(861)926-7666
"Salazar, Howell and Jones Medical Center",Clinic,6646934867,Baileystad,CA,625.216.9447x2239
"Williams, Nguyen and Ferguson Medical Center",Urgent Care,1500326539,Meghantown,GU,993-480-1556x5960
"Patton, Thornton and White Medical Center",Laboratory,4005392632,South Joseland,MT,+1-461-348-6364x499
"Ramos, Brown and Martin Medical Center",Specialist,9439962407,New Stacy,MS,594.404.4565x875
Berry PLC Medical Center,Specialist,3071879800,North Meghan,ND,001-326-470-0941x1718
Rowe-Myers Medical Center,Urgent Care,6764851447,West Michelleberg,WV,+1-292-383-9621
Hall-Ford Medical Center,Pharmacy,8128919963,Patelmouth,NC,248.562.5554x0717
"Herrera, Pruitt and Reeves Medical Center",Pharmacy,9496382956,North Christopher,IN,001-769-650-6026x677
Barnes-Jimenez Medical Center,Primary Care,2392577795,West Christopher,AL,4232076637
Bond-Freeman Medical Center,Clinic,4069663093,West Frankchester,PA,(930)294-7931
Douglas-Olson Medical Center,Clinic,3106913831,New Williamville,OR,320-871-7330
Franklin-Douglas Medical Center,Primary Care,3942839281,New Donald,OR,936.503.9677
Murphy Ltd Medical Center,Primary Care,1514733383,Gibsonbury,OH,7975929652
Schwartz-Jenkins Medical Center,Specialist,8694881837,Jacksonborough,WY,001-217-243-0319
Moore Ltd Medical Center,Laboratory,1385176137,Suzanneland,PR,+1-450-455-4354x42481
"Bowers, Mcgrath and Horton Medical Center",Laboratory,6487259187,North Shaneton,KY,511.430.2591
Goodman-Farmer Medical Center,Urgent Care,7730034720,Nathanchester,TX,317-341-2803x6680
Chavez-Snyder Medical Center,Laboratory,7178614724,West Amandaside,PA,+1-534-727-3831x00719
Garcia-Stewart Medical Center,Pharmacy,6494821806,North Alexandraborough,OH,270.831.7355
"Thompson, Gonzalez and Hall Medical Center",Specialist,4793845337,New Jacquelineside,MD,001-775-451-1655x9705
Meadows Group Medical Center,Clinic,2628750176,New Taylorshire,MO,+1-826-496-4469x0740
Walsh LLC Medical Center,Hospital,2964970165,Cooperland,VI,962.686.4341
"Sutton, Jackson and Tucker Medical Center",Laboratory,3868900993,New Loribury,KS,001-656-998-6102x2940
Hicks-Crawford Medical Center,Urgent Care,6157695397,East Allisonstad,GU,596.668.9151
"Hebert, Cooley and Miller Medical Center",Specialist,6225868440,Johnsonfort,MH,505.867.1553x014
